Model,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.967713004484305,0.991304347826087,0.7651006711409396,0.8636363636363636
Logistic Regression,0.9560538116591928,0.9901960784313726,0.6778523489932886,0.8047808764940239
Linear SVM,0.9838565022421525,0.9924812030075187,0.8859060402684564,0.9361702127659575
